指标名称,(),增长（％）
本月,累计,本月,累计
全社会用电量,527.66,3081.10,13.9,5.6
工业用电量,416.84,2342.33,13.7,4.6
轻工业,105.80,585.76,12.8,6.7
重工业,311.04,1756.57,14.0,3.9
城乡居民用电,40.03,328.52,10.1,8.1
城镇居民,19.46,164.32,13.8,8.4
乡村居民,20.56,164.20,6.8,7.8
分市工业用电量,,,,
苏南,249.44,1385.48,16.1,4.8
苏中,62.20,345.14,15.0,5.1
苏北,79.32,459.42,9.9,1.8
南京市,33.83,179.91,14.1,4.6
无锡市,51.22,283.13,22.5,5.6
徐州市,25.23,148.95,13.9,3.2
常州市,32.92,192.18,17.7,4.6
苏州市,114.06,630.18,13.3,3.9
昆山市,,95.75,,6.8
南通市,27.34,152.68,16.1,6.9
连云港市,11.06,61.96,-1.3,-7.1
淮安市,11.08,61.88,13.4,0.1
盐城市,19.51,119.74,2.9,1.0
扬州市,16.78,92.06,17.6,5.7
镇江市,17.40,100.08,18.7,9.5
泰州市,18.08,100.40,11.0,1.9
泰兴市,,24.36,,2.6
宿迁市,12.43,66.89,23.3,12.1
沭阳县,,18.89,,16.5
