指标名称,(),增长（％）
本月,累计,本月,累计
全社会用电量,449.89,1259.34,2.6,4.6
工业用电量,350.95,915.67,2.4,2.3
轻工业,86.82,226.99,20.0,7.8
重工业,264.13,688.68,-2.3,0.7
城乡居民用电,52.16,164.43,10.2,12.5
城镇居民,26.48,85.02,8.6,12.6
乡村居民,25.68,79.42,11.8,12.4
分市工业用电量,,,,
苏南,210.17,537.91,10.0,1.1
苏中,52.14,135.22,6.7,3.8
苏北,67.14,181.49,3.6,1.1
南京市,27.00,74.30,8.2,2.7
无锡市,44.65,108.90,11.3,-1.7
徐州市,21.56,59.20,-2.1,-0.7
常州市,28.45,73.13,9.8,-4.3
苏州市,95.31,242.86,8.6,2.8
昆山市,,37.23,,3.3
南通市,23.91,60.25,13.9,7.6
连云港市,8.61,24.48,-4.2,-6.8
淮安市,8.69,23.54,3.0,-4.3
盐城市,18.83,49.13,9.4,6.4
扬州市,13.10,36.03,1.3,2.7
镇江市,14.77,38.71,20.1,7.6
泰州市,15.13,38.94,1.3,-0.8
泰兴市,,10.23,,3.6
宿迁市,9.46,25.14,16.6,9.8
沭阳县,,6.92,,10.0
