指标名称,(),增长（％）
本月,累计,本月,累计
全社会用电量,450.05,4080.76,7.6,6.9
工业用电量,290.73,3029.69,0.2,4.7
轻工业,77.49,766.83,-1.1,6.1
重工业,213.24,2262.86,0.6,4.2
城乡居民用电,83.01,474.48,40.8,16.2
城镇居民,40.14,234.72,41.7,16.7
乡村居民,42.88,239.76,39.9,15.8
分市工业用电量,,,,
苏南,176.83,1800.79,-2.0,4.4
苏中,40.79,443.75,-3.2,4.5
苏北,51.25,583.15,-12.5,0.1
南京市,20.77,232.34,3.5,4.8
无锡市,34.85,365.96,-5.2,4.8
徐州市,16.61,188.81,-16.3,0.3
常州市,23.82,247.34,-4.0,3.6
苏州市,85.81,826.83,0.0,4.0
昆山市,,126.65,,7.7
南通市,19.36,197.75,6.0,6.9
连云港市,7.36,79.25,-6.0,-6.6
淮安市,6.14,78.93,-23.3,-1.1
盐城市,13.37,150.18,-12.1,-1.3
扬州市,9.67,116.90,-13.1,3.3
镇江市,11.59,128.33,-10.7,6.9
泰州市,11.77,129.10,-7.7,2.0
泰兴市,,30.81,,1.7
宿迁市,7.78,85.97,1.3,10.8
沭阳县,,24.42,,15.0
