指标名称,(),增长（％）
本月,累计,本月,累计
全社会用电量,439.53,2553.44,5.3,4.1
工业用电量,348.97,1925.49,4.7,2.8
轻工业,88.61,479.96,7.9,5.4
重工业,260.36,1445.52,3.7,1.9
城乡居民用电,34.70,288.49,3.0,7.8
城镇居民,16.29,144.86,4.2,7.7
乡村居民,18.42,143.63,2.0,7.9
分市工业用电量,,,,
苏南,206.48,1136.04,4.6,2.6
苏中,50.76,282.94,4.7,3.1
苏北,69.78,380.10,1.3,0.3
南京市,26.87,146.08,4.8,2.6
无锡市,42.10,231.91,7.3,2.5
徐州市,22.30,123.72,5.3,1.2
常州市,28.69,159.27,5.8,2.2
苏州市,94.22,516.11,3.0,2.0
昆山市,,77.45,,4.0
南通市,22.16,125.34,5.4,5.1
连云港市,9.38,50.90,-7.7,-8.3
淮安市,10.49,50.80,2.1,-2.3
盐城市,17.55,100.22,-4.9,0.6
扬州市,13.44,75.28,3.6,3.3
镇江市,14.60,82.68,5.2,7.8
泰州市,15.16,82.32,4.7,0.1
泰兴市,,20.38,,2.3
宿迁市,10.06,54.46,13.9,9.8
沭阳县,,15.18,,12.9
