指标名称,(),增长（％）
本月,累计,本月,累计
全社会用电量,421.85,1681.19,2.5,4.0
工业用电量,318.43,1234.10,1.4,2.1
轻工业,79.19,306.18,0.0,5.7
重工业,239.24,927.91,1.8,1.0
城乡居民用电,48.84,213.27,4.0,10.4
城镇居民,23.66,108.68,3.0,10.3
乡村居民,25.18,104.60,4.9,10.5
分市工业用电量,,,,
苏南,189.40,727.31,2.2,1.4
苏中,47.22,182.44,1.2,3.1
苏北,61.93,243.41,-0.1,0.8
南京市,20.84,95.15,-3.2,1.3
无锡市,38.92,147.82,3.0,-0.5
徐州市,20.26,79.45,3.0,-0.1
常州市,28.29,101.42,12.6,-0.1
苏州市,87.15,330.01,-0.8,1.8
昆山市,,50.06,,3.2
南通市,20.87,81.12,0.5,5.7
连云港市,7.97,32.44,-11.4,-8.0
淮安市,8.29,31.83,1.8,-2.8
盐城市,16.08,65.21,-2.1,4.2
扬州市,12.52,48.54,4.6,3.2
镇江市,14.21,52.92,8.1,7.8
泰州市,13.83,52.77,-0.5,-0.7
泰兴市,,13.53,,3.3
宿迁市,9.33,34.48,9.6,9.7
沭阳县,,9.55,,12.1
