指标名称,(),增长（％）
本月,累计,本月,累计
全社会用电量,456.18,4972.67,8.1,7.0
工业用电量,357.84,3697.82,7.4,4.6
轻工业,92.32,936.86,6.0,5.4
重工业,265.52,2760.96,7.8,4.3
城乡居民用电,40.69,578.36,13.0,17.5
城镇居民,19.51,284.10,16.9,18.4
乡村居民,21.18,294.26,9.6,16.7
分市工业用电量,,,,
苏南,213.03,2200.54,5.7,4.2
苏中,53.15,541.65,5.8,4.1
苏北,69.53,711.66,1.9,-0.3
南京市,27.13,279.93,5.7,4.0
无锡市,42.68,446.70,6.0,4.5
徐州市,21.50,227.66,-1.8,-1.0
常州市,30.39,304.12,6.5,3.8
苏州市,96.90,1012.24,4.9,4.1
昆山市,,154.88,,7.7
南通市,22.98,241.03,2.8,5.9
连云港市,10.82,98.05,5.9,-5.6
淮安市,9.57,97.35,4.5,-0.5
盐城市,17.26,183.52,-1.1,-1.5
扬州市,13.64,141.82,8.1,3.2
镇江市,15.94,157.55,8.4,5.9
泰州市,16.53,158.79,8.2,2.1
泰兴市,,38.04,,2.1
宿迁市,10.37,105.08,8.9,10.2
沭阳县,,29.69,,14.3
