指标名称,(),增长（％）
本月,累计,本月,累计
全社会用电量,432.71,2113.90,2.9,3.8
工业用电量,342.41,1576.51,3.4,2.4
轻工业,85.17,391.35,2.2,4.9
重工业,257.25,1185.16,3.8,1.6
城乡居民用电,40.51,253.79,-0.7,8.5
城镇居民,19.90,128.57,-2.4,8.1
乡村居民,20.62,125.22,1.0,8.8
分市工业用电量,,,,
苏南,202.25,929.56,5.1,2.2
苏中,49.74,232.18,1.7,2.8
苏北,66.91,310.32,-2.2,0.1
南京市,24.06,119.20,5.1,2.1
无锡市,41.99,189.81,9.0,1.5
徐州市,21.97,101.42,2.3,0.4
常州市,29.15,130.57,7.4,1.4
苏州市,91.89,421.90,1.9,1.8
昆山市,,63.25,,3.5
南通市,22.05,103.17,2.7,5.0
连云港市,9.07,41.52,-9.8,-8.4
淮安市,8.49,40.31,-5.7,-3.4
盐城市,17.46,82.67,-5.9,1.9
扬州市,13.30,61.84,3.7,3.3
镇江市,15.16,68.08,10.3,8.3
泰州市,14.39,67.16,-1.5,-0.9
泰兴市,,16.89,,1.8
宿迁市,9.93,44.40,6.4,8.9
沭阳县,,12.48,,12.5
