指标名称,(),增长（％）
本月,累计,本月,累计
全社会用电量,335.47,809.45,9.2,5.7
工业用电量,212.81,564.72,4.7,2.3
轻工业,50.42,140.17,-1.1,1.4
重工业,162.39,424.55,6.7,2.6
城乡居民用电,62.13,112.27,17.4,13.6
城镇居民,32.31,58.53,18.1,14.4
乡村居民,29.82,53.74,16.5,12.6
分市工业用电量,,,,
苏南,121.67,327.74,-6.6,-2.5
苏中,30.19,83.08,1.8,2.0
苏北,43.48,114.34,-0.7,0.9
南京市,18.14,47.31,-5.6,0.4
无锡市,22.51,64.25,-17.1,-5.8
徐州市,15.24,37.64,3.8,2.6
常州市,16.55,44.68,-18.0,-8.3
苏州市,56.12,147.56,1.9,-0.5
昆山市,,23.17,,-0.4
南通市,13.48,36.34,4.3,3.9
连云港市,5.80,15.87,-10.0,-8.2
淮安市,5.83,14.85,-4.6,-5.2
盐城市,11.57,30.30,4.2,4.6
扬州市,8.46,22.93,3.1,3.5
镇江市,8.36,23.94,-4.0,1.2
泰州市,8.25,23.81,-3.4,-2.0
泰兴市,,6.53,,6.4
宿迁市,5.04,15.68,-7.3,6.7
沭阳县,,4.32,,1.3
