指标名称,(),增长（％）
本月,累计,本月,累计
全社会用电量,435.74,4516.49,6.0,6.8
工业用电量,310.29,3339.98,1.1,4.3
轻工业,77.70,844.53,-1.4,5.3
重工业,232.58,2495.45,1.9,4.0
城乡居民用电,63.19,537.67,31.6,17.9
城镇居民,29.87,264.59,34.3,18.5
乡村居民,33.32,273.08,29.3,17.3
分市工业用电量,,,,
苏南,186.72,1987.51,0.9,4.1
苏中,44.75,488.50,-1.6,3.9
苏北,58.98,642.13,-5.7,-0.5
南京市,20.46,252.80,-5.3,3.9
无锡市,38.06,404.02,0.3,4.4
徐州市,17.34,206.15,-12.8,-1.0
常州市,26.39,273.73,2.3,3.5
苏州市,88.52,915.34,3.3,4.0
昆山市,,140.06,,7.8
南通市,20.31,218.05,0.2,6.3
连云港市,7.98,87.22,-10.0,-6.9
淮安市,8.86,87.78,0.1,-1.0
盐城市,16.07,166.26,-3.8,-1.6
扬州市,11.28,128.18,-2.8,2.7
镇江市,13.29,141.62,-5.3,5.6
泰州市,13.16,142.26,-3.2,1.5
泰兴市,,33.84,,0.5
宿迁市,8.74,94.71,5.6,10.3
沭阳县,,26.60,,14.0
