指标名称,(),增长（％）
本月,累计,本月,累计
全社会用电量,486.27,5458.95,4.6,6.7
工业用电量,383.60,4081.42,4.1,4.6
轻工业,94.77,1031.63,-1.5,4.7
重工业,288.83,3049.79,6.1,4.5
城乡居民用电,41.18,619.54,11.3,17.1
城镇居民,19.85,303.95,13.6,18.1
乡村居民,21.33,315.59,9.2,16.1
分市工业用电量,,,,
苏南,228.84,2429.39,0.9,3.9
苏中,56.80,598.45,-1.4,3.5
苏北,72.44,784.10,-7.8,-1.0
南京市,30.89,310.81,-1.9,3.4
无锡市,47.03,493.73,4.7,4.6
徐州市,22.57,250.22,-7.1,-1.6
常州市,30.65,334.78,-5.6,2.9
苏州市,104.06,1116.30,2.6,3.9
昆山市,,,,
南通市,24.62,265.65,-3.4,5.0
连云港市,11.95,110.00,-5.8,-5.6
淮安市,9.35,106.70,-15.4,-2.0
盐城市,17.85,201.37,-10.4,-2.4
扬州市,14.78,156.60,-2.1,2.7
镇江市,16.22,173.77,-2.0,5.1
泰州市,17.41,176.20,2.0,2.1
泰兴市,,,,
宿迁市,10.73,115.81,0.7,9.2
沭阳县,,,,
